launch_id,kernel_name,mangled_name,grid_size,block_size,cycles_speedup,mem_instr_reduce_pct,l1_to_l2_traffic_reduce_pct,l2_to_dram_rd_traffic_reduce_pct
325,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",1.0246072029031015,0.0,0.05627632541568724,-0.6393476800481827
326,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.0158855374026328,0.0,0.0,4.650243709656172
327,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3359152465399533,89.33058774256595,0.0,6.874606175173283
328,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.867568215449722,91.03260869565217,5.2521008403361344,-16.352201257861633
329,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",1.0004820750098775,0.0,0.0,13.861944507105797
330,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",0.9755314666921159,0.0,0.028995793446085133,-0.19458407653640344
331,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",0.9787479333303544,0.0,0.0,-0.8825889275207275
332,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3645878461754504,89.33058774256595,0.0,0.3321569441561138
333,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.923273580643079,91.03260869565217,5.2521008403361344,19.003115264797508
334,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",1.0084515122252309,0.0,0.0,20.082906076142688
335,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",0.973151188360394,0.0,0.027705627705627702,-0.9497776130467014
336,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.020419484780487,0.0,0.0,4.606830818109611
337,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3683095678577435,89.33058774256595,0.0,5.0810597073942265
338,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.8940164648379008,91.03260869565217,5.2521008403361344,7.255520504731862
339,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",0.9988678127667232,0.0,0.0,-13.413632630714481
340,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",1.028577390884847,0.0,0.028571428571428574,0.0
341,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.0343099652317715,0.0,0.0,5.321245565628695
342,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(450,1,1)","(512,1,1)",1.3110992238397754,89.33058774256595,0.0,4.350964693529335
343,"reduce(long, int, int, float *, float *)",_Z6reduceliiPfS_,"(1,1,1)","(512,1,1)",3.936370504754665,91.03260869565217,5.2521008403361344,67.14589989350372
344,"srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, float *, float *)",_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,"(450,1,1)","(512,1,1)",1.0015588601936614,0.0,0.0008612782230107702,0.02737101409607226
345,"srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float *, float *)",_Z5srad2fiilPiS_S_S_PfS0_S0_S0_S0_S0_,"(450,1,1)","(512,1,1)",1.01338192643901,0.0,0.02857068647567596,1.7038923572764768
346,"prepare(long, float *, float *, float *)",_Z7preparelPfS_S_,"(450,1,1)","(512,1,1)",1.0479029572299934,0.0,0.0,2.6812059012187297
